Season,Week,Team,Score,Opponent,Win,ESPN
2016,1,AFB,100.5,MCHO,0,106.3
2016,1,ATOM,112.5,DMPS,0,112.9
2016,1,BUTT,106.3,SHSR,0,111.4
2016,1,DMPS,145.5,ATOM,1,113.4
2016,1,FLUF,81,PHSH,1,108.2
2016,1,MCHO,105.6,AFB,1,99.5
2016,1,OCTO,100.4,SONG,0,107.1
2016,1,PHSH,80.3,FLUF,0,111.2
2016,1,ROBO,144.8,TGIF,0,116.9
2016,1,SHSR,121.3,BUTT,1,105.6
2016,1,SONG,155.4,OCTO,1,102.1
2016,1,TGIF,148.6,ROBO,1,110.6
2016,2,AFB,125.5,DMPS,1,108.3
2016,2,ATOM,107,BUTT,1,107.1
2016,2,BUTT,104.5,ATOM,0,103.7
2016,2,DMPS,107,AFB,0,112.3
2016,2,FLUF,78.4,SONG,0,105
2016,2,MCHO,103.8,ROBO,0,110
2016,2,OCTO,95.1,TGIF,1,88.8
2016,2,PHSH,118.1,SHSR,1,102.8
2016,2,ROBO,114.9,MCHO,1,108.4
2016,2,SHSR,84.7,PHSH,0,103.5
2016,2,SONG,128.9,FLUF,1,116.4
2016,2,TGIF,88.2,OCTO,0,107.4
2016,3,AFB,129.3,ROBO,1,113.6
2016,3,ATOM,143.4,MCHO,1,114.9
2016,3,BUTT,68.1,DMPS,0,101.6
2016,3,DMPS,94.2,BUTT,1,111.6
2016,3,FLUF,152.7,SHSR,1,106.9
2016,3,MCHO,95.7,ATOM,0,108.7
2016,3,OCTO,99.8,PHSH,0,102.6
2016,3,PHSH,138.1,OCTO,1,110.6
2016,3,ROBO,81.6,AFB,0,117.8
2016,3,SHSR,126.7,FLUF,0,117.7
2016,3,SONG,90.8,TGIF,0,112.4
2016,3,TGIF,120,SONG,1,103.9
2016,4,AFB,111,ATOM,1,113.3
2016,4,ATOM,102.7,AFB,0,107.1
2016,4,BUTT,93.3,MCHO,0,105.6
2016,4,DMPS,86.8,ROBO,0,114.4
2016,4,FLUF,109.1,TGIF,0,109.6
2016,4,MCHO,116.1,BUTT,1,113.7
2016,4,OCTO,84,SHSR,0,110.4
2016,4,PHSH,88.6,SONG,0,99.6
2016,4,ROBO,111.1,DMPS,1,102.4
2016,4,SHSR,103.3,OCTO,1,112.3
2016,4,SONG,118.2,PHSH,1,117.1
2016,4,TGIF,134,FLUF,1,111
2016,5,AFB,90.5,BUTT,0,109.5
2016,5,ATOM,137.6,ROBO,1,106.8
2016,5,BUTT,100.2,AFB,1,94.1
2016,5,DMPS,122.8,MCHO,1,107.9
2016,5,FLUF,136.4,OCTO,1,114.7
2016,5,MCHO,120.2,DMPS,0,113
2016,5,OCTO,112.7,FLUF,0,107.8
2016,5,PHSH,123.3,TGIF,1,105
2016,5,ROBO,96.5,ATOM,0,101.3
2016,5,SHSR,99,SONG,1,102
2016,5,SONG,56.7,SHSR,0,95.4
2016,5,TGIF,98.5,PHSH,0,112.3
2016,6,AFB,122.6,SONG,1,115.7
2016,6,ATOM,114.1,PHSH,1,110.2
2016,6,BUTT,126.2,ROBO,1,107.2
2016,6,DMPS,104.6,FLUF,1,113.9
2016,6,FLUF,72.1,DMPS,0,106.3
2016,6,MCHO,88.2,OCTO,0,114.2
2016,6,OCTO,109.9,MCHO,1,110.9
2016,6,PHSH,82.4,ATOM,0,114.4
2016,6,ROBO,91.7,BUTT,0,100
2016,6,SHSR,95.2,TGIF,1,105.4
2016,6,SONG,110.2,AFB,0,110.3
2016,6,TGIF,86.3,SHSR,0,121.3
2016,7,AFB,,SHSR,NA,104.2
2016,7,ATOM,,TGIF,NA,113
2016,7,BUTT,,SONG,NA,109.2
2016,7,DMPS,,OCTO,NA,104.9
2016,7,FLUF,,MCHO,NA,106.9
2016,7,MCHO,,FLUF,NA,109.4
2016,7,OCTO,,DMPS,NA,115.7
2016,7,PHSH,,ROBO,NA,110.6
2016,7,ROBO,,PHSH,NA,103.7
2016,7,SHSR,,AFB,NA,104.2
2016,7,SONG,,BUTT,NA,104.1
2016,7,TGIF,,ATOM,NA,113.8
